Student_ID,inactivity_score,poor_performance_score,inconsistent_engagement_score,study_hours_per_week,attendance_rate,previous_failures,dropout
174,31,64,19,26,86,5,0
175,70,92,50,0,84,4,0
176,58,85,77,33,73,1,1
177,85,79,38,16,99,0,1
178,27,40,36,36,66,4,0
179,65,50,49,37,93,0,1
180,41,70,33,25,78,3,0
181,44,77,74,23,51,0,0
182,61,28,32,38,63,0,0
183,56,82,30,20,94,3,1
184,5,18,53,29,60,5,1
185,27,65,43,12,61,1,0
186,27,40,33,36,56,4,0
187,43,44,70,2,88,2,1
188,83,14,61,31,81,1,0
189,29,2,22,34,87,0,0
190,61,10,45,18,85,2,0
191,74,52,55,13,54,3,1
192,91,45,6,21,73,1,0
193,88,29,88,16,60,5,0
194,61,56,60,3,96,4,1
195,96,17,2,39,61,1,0
196,0,50,37,18,67,1,1
197,26,47,83,36,52,5,1
198,61,65,33,1,53,2,1
199,76,95,43,14,83,3,0
200,2,7,29,1,79,5,0
201,69,21,16,10,55,3,0
202,71,5,58,22,88,5,1
203,26,75,9,9,55,1,1
204,8,56,98,2,61,3,1
205,61,35,83,4,55,2,1
206,36,78,17,2,78,2,1
207,96,91,44,37,80,4,1
208,50,56,90,12,68,3,0
209,43,48,58,18,89,4,0
210,23,44,61,39,61,5,0
211,78,81,58,34,64,0,1
212,58,65,48,23,86,2,1
213,31,76,99,23,82,1,1
214,95,44,62,16,87,2,1
215,87,78,86,39,67,0,1
216,51,19,31,9,65,1,0
217,61,63,9,1,85,3,0
218,57,92,10,22,100,3,1
219,51,92,69,5,87,2,1
220,11,66,61,1,93,1,0
221,38,82,46,20,75,5,1
222,1,2,33,34,93,1,0
223,2,53,99,28,57,4,0
224,100,77,100,6,67,0,0
225,55,63,16,28,70,3,0
226,80,39,53,36,72,2,1
227,58,58,75,22,56,1,1
228,1,54,84,32,52,3,0
229,1,61,39,7,98,2,0
230,91,3,18,11,69,3,0
231,53,59,66,9,74,2,0
232,86,74,81,14,82,3,0
233,100,94,52,23,50,5,1
234,95,95,63,25,53,4,0
235,96,90,82,38,73,0,0
236,0,29,46,2,50,3,0
237,18,1,5,1,86,0,0
238,1,61,15,5,96,3,0
239,52,48,71,20,88,1,0
240,43,8,17,8,55,4,0
241,89,91,51,9,50,5,0
242,31,30,47,35,71,4,0
243,69,97,42,2,76,0,0
244,31,60,38,40,99,1,1
245,67,78,48,23,53,2,0
246,54,47,11,21,96,4,1
247,74,24,9,13,100,5,0
248,55,35,70,26,55,1,1
249,16,7,54,32,78,1,0
250,37,72,0,21,82,0,0
251,23,57,48,28,81,5,1
252,68,100,35,18,80,1,0
253,97,44,20,18,70,1,0
254,69,61,36,5,93,2,1
255,85,38,23,18,89,0,1
256,10,95,54,12,59,0,1
257,15,57,24,25,69,5,1
258,96,80,6,21,54,1,0
259,72,98,80,20,89,2,0
260,58,100,92,35,55,3,1
261,69,82,93,1,57,4,1
262,79,63,70,29,92,0,0
263,92,43,96,26,68,2,1
264,2,28,70,6,58,5,1
265,19,58,23,19,90,2,0
266,58,70,10,30,85,1,0
267,35,91,72,22,85,4,0
268,18,8,11,12,100,0,0
269,89,91,34,16,88,3,1
270,66,5,62,3,100,1,0
271,18,28,67,13,98,0,0
272,19,57,99,19,55,5,0
273,95,16,91,12,52,0,0
274,70,15,56,2,73,2,0
275,51,86,12,25,94,4,0
276,32,94,22,25,62,3,0
277,39,2,82,17,97,4,1
278,38,20,100,31,79,2,0
279,81,63,38,13,62,3,0
280,0,89,87,2,64,3,0
281,10,35,79,0,57,1,0
282,91,100,96,25,84,3,1
283,56,85,11,23,54,0,1
284,88,61,33,34,51,4,1
285,49,41,70,13,84,5,0
286,22,75,74,2,93,5,1
287,30,41,30,12,89,4,1
288,93,60,92,13,78,1,0
289,41,12,61,20,73,3,0
290,98,10,12,25,74,2,0
291,6,53,30,2,51,0,0
292,15,15,1,39,69,1,0
293,89,7,14,3,61,3,1
294,59,58,56,35,98,5,0
295,1,56,74,0,72,2,1
296,0,39,33,39,67,3,0
297,47,58,67,32,60,1,0
298,11,1,74,6,82,2,0
299,68,93,28,10,68,2,1
300,36,93,65,26,53,2,0
301,31,75,15,13,84,2,0
302,8,9,38,21,82,3,0
303,98,43,76,15,58,2,0
304,18,10,36,11,50,3,0
305,47,78,80,9,82,2,0
306,79,79,20,23,77,2,1
307,2,80,43,17,59,1,1
308,19,89,18,21,51,3,0
309,23,1,70,8,99,5,0
310,53,49,7,16,57,3,0
311,32,11,76,37,82,4,0
312,23,89,100,39,86,5,1
313,74,22,65,12,82,1,0
314,71,17,40,36,100,3,1
315,35,61,74,5,96,1,0
316,37,95,87,20,95,5,1
317,83,61,69,35,82,1,0
318,98,37,60,6,72,1,0
319,88,66,25,35,65,0,1
320,98,37,70,24,65,3,0
321,24,66,82,10,53,1,1
322,92,93,69,13,60,0,1
323,17,60,28,28,60,0,1
324,81,0,65,9,57,2,0
325,65,93,18,4,81,2,1
326,53,44,67,7,91,5,1
327,34,95,57,4,59,3,0
328,79,27,69,23,92,2,0
329,60,20,56,39,61,5,1
330,40,12,36,25,79,3,1
331,99,26,60,5,89,5,1
332,32,99,91,15,59,0,0
333,67,6,29,35,96,0,1
334,32,21,70,11,70,3,0
335,13,73,72,10,52,5,1
336,20,52,24,2,52,5,0
337,47,78,96,36,69,2,0
338,19,78,64,5,51,2,0
339,7,3,5,18,99,3,0
340,6,95,17,17,98,4,1
341,66,22,9,15,99,2,0
342,16,69,91,22,50,1,0
343,32,87,10,36,80,2,0
344,47,83,96,8,51,4,1
345,75,100,64,2,50,5,1
346,58,83,76,7,60,0,1
347,85,75,100,37,74,0,1
348,21,32,83,3,67,5,0
349,29,27,64,11,69,0,0
350,37,7,51,30,89,2,0
351,50,0,66,24,90,0,0
352,53,36,81,15,76,4,1
353,7,62,77,13,100,4,0
354,26,21,30,12,82,2,0
355,26,69,90,40,55,5,0
356,97,20,16,6,72,1,0
357,20,95,54,11,67,2,1
358,29,34,92,36,86,0,0
359,96,78,35,3,87,2,0
360,27,4,100,1,59,4,1
361,63,59,25,34,98,2,0
362,96,45,52,2,54,2,0
363,68,49,16,3,54,1,1
364,60,47,85,37,83,4,0
365,47,5,24,11,83,3,0
366,18,88,1,18,63,3,0
367,3,55,85,9,83,4,1
368,34,58,4,0,80,3,1
369,63,28,3,16,54,0,1
370,48,70,35,15,77,3,0
371,16,76,5,8,51,0,0
372,43,17,20,8,95,4,0
373,91,1,76,8,90,3,1
374,29,7,100,11,100,3,1
375,92,74,88,40,89,5,0
376,45,96,25,14,65,0,0
377,5,53,54,1,99,0,0
378,98,37,38,10,50,2,0
379,36,47,83,10,62,1,0
380,23,26,32,7,100,3,0
381,92,19,13,31,83,5,0
382,45,11,55,5,61,1,0
383,52,42,99,19,54,5,0
384,94,60,80,38,94,1,0
385,98,30,20,34,73,3,0
386,59,90,45,7,73,5,1
387,96,95,15,33,51,0,1
388,62,60,15,18,88,2,0
389,84,73,83,6,89,5,1
390,31,66,28,30,55,4,1
391,86,90,91,17,75,3,1
392,32,34,7,39,53,3,0
393,66,94,87,13,93,4,1
394,17,14,2,38,55,1,0
395,24,15,88,35,89,2,0
396,94,12,18,16,54,1,1
397,53,34,96,36,95,4,1
398,57,74,65,8,56,4,1
399,66,58,78,19,55,2,0
400,45,20,85,27,59,4,0
401,23,53,73,19,98,4,1
402,31,74,81,40,61,5,0
403,46,29,21,35,97,2,0
404,85,47,45,26,65,3,0
405,22,34,90,7,69,1,0
406,65,85,12,31,84,3,0
407,26,37,32,0,57,3,0
408,1,30,4,16,69,5,0
409,89,77,89,8,81,1,0
410,16,23,76,19,71,3,0
411,32,48,26,31,88,2,0
412,8,95,77,1,72,1,0
413,42,99,23,31,89,0,0
414,47,31,66,8,70,5,0
415,38,54,62,29,72,3,0
416,92,78,93,19,52,4,0
417,41,57,98,37,94,1,1
418,25,98,47,0,86,0,1
419,98,2,62,4,55,4,1
420,49,79,77,34,92,0,0
421,24,68,11,35,74,3,0
422,23,84,27,0,57,4,0
423,12,9,43,13,93,3,0
424,59,82,92,8,55,4,0
425,6,24,42,29,98,1,0
426,56,67,16,23,100,2,0
427,35,60,39,3,56,2,0
428,44,28,48,13,100,0,0
429,19,18,84,24,57,5,1
430,64,42,56,3,62,4,1
431,7,65,86,24,72,3,0
432,15,73,83,9,54,5,1
433,13,60,63,34,99,1,0
434,75,42,74,6,95,1,0
435,86,24,56,12,83,1,0
436,14,19,97,3,71,2,0
437,91,47,73,35,62,3,0
438,97,82,73,13,52,1,0
439,65,86,69,17,60,1,1
440,31,23,99,7,97,0,0
441,86,10,87,31,82,4,1
442,62,97,75,26,62,4,1
443,85,54,42,36,79,4,1
444,50,27,22,22,91,5,1
445,24,68,26,6,76,0,0
446,57,62,57,11,64,2,1
447,62,58,36,24,55,5,1
448,61,4,5,2,72,0,0
449,21,50,64,25,80,1,0
450,57,20,5,3,72,3,0
451,57,11,49,35,71,5,0
452,85,49,21,14,89,5,1
453,48,3,87,31,62,1,0
454,51,41,24,28,58,1,0
455,41,83,78,9,52,3,1
456,69,37,89,20,93,4,1
457,14,24,71,15,96,5,0
458,53,13,50,18,100,0,1
459,59,74,87,28,52,2,1
460,100,31,47,17,99,1,1
461,96,10,69,15,59,1,0
462,7,60,98,0,55,2,1
463,52,17,64,1,87,0,0
464,59,26,59,14,50,1,1
465,4,54,45,38,69,2,0
466,67,53,35,27,55,1,1
467,5,81,57,0,89,4,1
468,95,86,75,4,60,4,1
469,93,74,37,21,51,1,0
470,46,20,10,35,93,1,0
471,98,43,11,12,62,4,0
472,54,4,41,0,57,1,0
473,39,86,38,15,57,0,0
474,51,40,70,40,58,0,1
475,15,58,10,21,96,3,0
476,12,88,35,31,68,0,0
477,29,53,51,15,72,5,1
478,18,73,30,14,53,5,0
479,16,21,32,11,76,5,0
480,62,82,12,0,58,1,0
481,18,64,17,16,99,1,1
482,91,63,40,40,53,2,0
483,57,70,57,27,87,5,1
484,54,3,55,6,78,5,0
485,89,64,23,8,98,0,1
486,100,14,72,21,67,4,1
487,89,75,30,25,86,4,0
488,61,21,54,11,99,3,0
489,22,85,9,6,79,2,1
490,8,46,59,14,69,4,1
491,11,80,1,37,83,3,0
492,0,92,14,20,77,0,0
493,57,45,2,13,56,2,0
494,0,13,42,1,97,2,0
495,33,49,30,7,86,5,1
496,95,19,69,5,85,1,0
497,47,49,66,36,74,5,0
498,88,32,55,36,56,0,0
499,0,58,62,32,65,5,1
500,15,42,74,40,88,2,0
501,60,78,14,5,85,5,1
502,63,11,91,25,92,3,0
503,62,39,9,38,71,5,0
504,68,19,37,40,76,4,0
505,21,93,46,36,73,0,0
506,92,37,56,13,50,0,1
507,66,2,49,36,83,2,0
508,75,27,70,7,55,5,0
509,25,55,14,38,71,2,0
510,15,89,17,12,98,2,1
511,50,93,81,12,89,3,1
512,100,12,87,39,78,1,1
513,85,76,1,27,53,2,1
514,56,65,83,17,97,1,1
515,28,36,97,18,75,1,0
516,77,48,42,37,62,0,1
517,91,65,25,31,85,4,0
518,68,35,70,21,61,4,0
519,46,53,37,1,77,5,0
520,93,25,93,12,65,3,1
521,61,74,41,22,51,3,0
522,68,71,4,24,59,4,0
523,75,39,10,27,82,5,1
524,15,42,64,10,88,4,0
525,89,21,33,32,83,5,0
526,89,19,0,23,71,5,1
527,47,7,82,1,62,5,0
528,84,28,1,29,83,5,0
529,38,39,84,16,72,0,0
530,99,89,19,39,64,0,0
531,32,29,60,33,67,4,0
532,93,80,86,37,68,5,0
533,100,83,20,21,59,2,1
534,22,54,87,4,64,5,0
535,9,15,67,39,72,2,0
536,68,45,11,15,55,0,0
537,99,61,21,12,78,5,1
538,33,6,19,25,99,1,0
539,51,79,81,30,66,4,1
540,94,44,0,38,90,5,0
541,9,58,29,22,76,3,0
542,18,55,96,11,80,2,0
543,57,47,23,13,67,5,1
544,95,26,13,17,69,1,1
545,0,52,35,26,73,2,0
546,68,86,68,27,65,1,0
547,3,87,74,17,53,4,0
548,15,72,23,15,63,4,1
549,23,34,59,15,84,4,1
550,79,50,94,12,100,0,1
551,1,83,54,28,57,1,0
552,91,36,76,8,57,5,1
553,31,80,79,25,99,3,0
554,90,94,23,27,58,3,1
555,83,56,76,40,62,4,0
556,23,7,23,12,67,3,0
557,11,78,53,35,52,2,1
558,49,94,25,8,93,1,0
559,34,93,65,13,84,1,0
560,32,19,79,11,94,1,0
561,32,52,37,31,73,2,0
562,60,11,64,37,99,5,1
563,50,48,74,2,74,0,0
564,42,16,50,15,94,2,0
565,100,63,34,19,74,1,0
566,11,41,42,31,79,1,0
567,66,93,28,22,53,1,0
568,64,28,36,16,68,5,0
569,32,18,80,15,60,3,0
570,39,10,57,37,72,0,0
571,73,97,53,7,97,2,1
572,42,49,38,18,54,1,1
573,43,70,41,29,94,4,1
574,28,57,27,33,81,0,0
575,12,33,28,13,70,4,1
576,11,19,42,21,91,0,0
577,94,49,2,16,62,1,0
578,45,87,9,14,77,0,1
579,1,9,58,31,95,0,0
580,34,31,13,12,78,1,0
581,86,51,75,20,99,5,1
582,80,14,46,39,99,4,0
583,89,100,41,32,88,5,1
584,7,83,93,26,59,4,1
585,92,2,31,34,61,3,0
586,25,36,31,15,87,4,0
587,73,39,41,27,77,4,0
588,89,71,31,33,65,0,0
589,33,39,25,0,56,3,0
590,6,55,0,40,60,1,0
591,67,22,55,30,88,1,1
592,57,10,1,35,81,2,0
593,74,63,80,32,64,3,1
594,28,7,29,32,81,0,0
595,35,92,70,38,58,2,0
596,88,93,51,17,61,2,1
597,20,55,90,22,60,1,1
598,35,59,8,22,77,4,0
599,9,9,21,14,79,0,0
600,100,38,33,25,99,3,0
601,72,27,48,29,90,2,0
602,23,48,0,24,52,0,0
603,63,35,72,15,86,1,0
604,98,12,83,38,50,2,1
605,48,95,52,13,75,2,0
606,98,35,82,16,52,5,1
607,35,100,99,11,50,1,1
608,81,25,39,28,89,5,1
609,95,85,44,31,61,1,1
610,23,3,67,23,95,1,0
611,22,94,8,12,58,5,0
612,61,81,21,19,87,0,0
613,95,63,17,14,84,0,1
614,36,37,75,3,99,0,0
615,11,87,42,33,100,4,0
616,54,86,38,27,96,2,1
617,12,21,72,1,95,0,0
618,22,1,5,29,98,4,0
619,88,30,82,25,88,2,1
620,98,10,47,25,92,0,0
621,29,91,6,19,98,1,0
622,16,45,79,27,79,3,0
623,61,95,68,19,81,0,1
624,83,61,15,10,78,3,1
625,88,68,0,9,81,0,0
626,85,63,36,22,78,1,1
627,12,9,82,36,71,3,0
628,58,39,36,40,79,4,0
629,18,23,80,18,72,1,0
630,48,98,63,17,97,3,1
631,99,43,89,26,76,3,1
632,11,59,85,5,91,5,0
633,60,61,61,9,91,5,1
634,18,86,71,1,100,1,0
635,75,16,60,23,55,1,0
636,8,64,32,37,99,1,0
637,70,94,65,27,69,2,0
638,27,94,29,27,54,4,0
639,77,56,19,38,90,0,0
640,94,54,59,1,69,5,1
641,51,52,81,4,88,3,1
642,82,55,73,10,81,5,1
643,15,97,23,9,52,0,0
644,68,8,3,1,58,1,0
645,98,21,36,14,74,5,0
646,11,12,3,38,69,4,0
647,24,88,76,40,72,4,1
648,51,47,88,36,61,2,0
649,84,17,76,6,71,5,1
650,99,75,17,19,81,1,0
651,52,39,87,33,80,3,0
652,22,16,65,34,89,2,0
653,15,14,47,33,77,1,0
654,56,14,32,21,61,2,0
655,38,78,57,30,71,5,0
656,52,62,82,22,52,0,0
657,41,38,72,18,82,5,1
658,57,12,27,3,61,1,0
659,38,80,34,23,91,3,1
660,13,31,9,19,67,3,0
661,94,8,64,38,71,1,0
662,4,39,41,27,60,2,0
663,34,19,84,38,55,4,0
664,86,89,8,16,50,1,0
665,92,90,59,18,87,5,0
666,74,84,14,34,69,3,1
667,17,81,98,31,92,0,0
668,75,76,56,38,89,3,1
669,8,79,68,34,79,4,0
670,73,72,21,29,79,3,0
671,57,62,63,16,52,4,0
672,16,75,40,28,79,1,1
673,6,43,86,5,91,3,0
674,45,37,70,16,58,2,0
675,12,82,55,16,81,5,0
676,39,59,22,13,53,2,1
677,41,70,24,23,59,5,0
678,8,98,90,36,75,3,1
679,49,47,5,39,53,3,0
680,26,17,33,38,63,5,0
681,65,15,62,31,55,0,0
682,4,54,8,35,88,3,1
683,28,38,59,36,60,0,0
684,36,67,48,13,59,0,1
685,37,58,96,26,78,5,0
686,82,88,50,18,71,0,0
687,7,95,59,30,100,0,0
688,64,61,69,8,86,1,0
689,85,12,36,37,76,2,0
690,16,80,30,16,57,0,0
691,70,100,97,18,69,2,1
692,88,5,40,3,88,0,1
693,44,82,61,10,59,2,0
694,3,76,92,21,97,3,1
695,35,59,57,3,64,3,1
696,69,89,13,16,98,2,1
697,30,13,35,7,63,0,1
698,18,94,35,33,89,1,0
699,60,53,78,10,68,2,1
700,53,3,7,30,88,4,0
701,38,38,25,10,93,1,0
702,90,71,35,37,76,4,0
703,73,24,47,20,63,2,1
704,89,76,84,29,86,0,1
705,18,31,27,9,66,4,0
706,38,58,67,25,96,2,1
707,66,62,61,26,94,1,0
708,44,37,79,7,51,0,0
709,12,91,85,38,67,4,0
710,91,52,75,7,62,2,1
711,57,93,79,7,66,0,0
712,19,66,50,33,53,0,0
713,91,27,41,15,51,3,1
714,71,2,100,40,89,0,0
715,60,97,28,12,69,2,1
716,38,79,81,22,74,1,1
717,0,21,9,11,72,5,0
718,2,95,38,26,74,3,1
719,76,37,81,21,97,2,1
720,91,71,0,31,97,2,0
721,61,71,38,26,93,2,1
722,62,61,20,1,87,4,1
723,24,56,64,32,67,4,1
724,55,5,14,25,65,1,0
725,32,77,3,27,82,2,0
726,37,31,59,18,89,4,0
727,5,98,60,4,99,4,1
728,57,9,19,32,58,4,1
729,43,2,9,19,96,1,0
730,44,58,86,29,87,1,1
731,31,75,33,7,88,2,1
732,44,48,47,37,50,3,0
733,60,58,32,16,71,2,1
734,46,30,97,0,79,4,1
735,20,92,60,2,68,5,1
736,79,68,9,25,77,4,1
737,84,61,53,30,90,0,1
738,74,51,83,7,86,5,0
739,100,88,64,7,64,5,1
740,35,40,76,34,84,2,0
741,98,30,0,38,92,4,1
742,18,84,4,27,92,4,0
743,19,83,79,3,53,3,1
744,56,21,14,15,77,0,0
745,17,3,27,12,53,2,1
746,46,12,94,19,52,1,0
747,48,44,22,4,88,2,0
748,13,41,16,36,89,5,0
749,14,48,97,19,53,2,1
750,30,19,12,23,55,3,0
751,0,76,13,35,53,2,0
752,53,80,10,33,63,3,0
753,2,53,27,33,66,5,1
754,15,35,41,18,74,3,0
755,86,96,95,16,97,4,1
756,56,0,98,4,87,1,0
757,74,14,60,24,67,5,0
758,11,76,63,17,66,3,0
759,73,16,30,7,94,0,0
760,95,23,80,26,67,5,0
761,15,57,72,14,83,0,1
762,71,71,9,12,99,1,0
763,75,90,7,15,92,3,1
764,23,22,20,21,73,5,1
765,27,45,76,19,60,5,0
766,7,71,58,12,75,1,0
767,91,7,49,19,67,4,0
768,35,58,68,1,72,0,0
769,89,89,69,34,69,5,0
770,7,58,29,18,81,2,1
771,57,12,94,36,63,0,0
772,59,38,16,5,73,3,0
773,49,100,74,13,81,1,1
774,27,27,19,3,57,0,0
775,91,88,47,21,51,2,0
776,100,60,72,38,63,2,0
777,40,15,1,35,74,1,0
778,99,1,36,33,80,1,1
779,63,81,0,26,76,0,0
780,26,16,3,6,92,3,1
781,62,29,99,2,77,4,1
782,16,12,53,32,67,2,1
783,72,95,24,1,91,1,1
784,32,92,2,15,52,4,0
785,83,93,8,24,64,4,0
786,76,81,85,14,80,4,1
787,91,12,86,23,70,3,0
788,28,42,75,14,88,1,0
789,12,84,73,30,97,2,0
790,45,93,33,13,50,1,0
791,34,20,42,13,63,0,0
792,5,54,73,5,86,2,1
793,81,80,93,13,55,1,0
794,68,39,21,16,68,2,1
795,46,82,69,17,55,0,0
796,24,14,1,19,50,5,0
797,65,72,93,16,95,2,0
798,9,51,65,15,59,5,0
799,55,73,31,39,97,4,0
800,29,94,15,38,75,3,0
801,4,52,75,31,86,0,0
802,32,86,0,8,59,2,0
803,64,51,71,26,68,0,0
804,17,29,47,32,55,4,0
805,95,32,49,9,93,5,0
806,48,56,12,16,58,3,1
807,10,51,14,35,66,0,0
808,84,8,52,16,58,5,0
809,25,53,43,17,76,4,1
810,62,0,7,22,82,4,0
811,88,43,73,33,56,4,0
812,85,98,45,7,82,5,1
813,58,74,68,12,58,2,0
814,26,97,18,22,80,1,0
815,48,79,37,19,63,0,0
816,76,8,10,21,76,1,0
817,32,31,42,22,89,4,0
818,97,14,19,40,56,1,0
819,98,11,19,34,92,5,0
820,0,96,20,2,87,4,1
821,20,77,81,33,91,4,1
822,54,56,56,32,61,3,0
823,5,7,49,16,83,3,0
824,91,71,73,18,82,5,0
825,80,26,97,29,96,5,1
826,68,61,25,22,89,1,0
827,94,11,29,14,66,0,1
828,4,64,72,13,96,1,0
829,2,41,30,1,61,5,0
830,52,61,41,38,62,0,0
831,22,10,67,17,61,1,0
832,100,42,60,5,80,2,1
833,52,94,60,31,92,2,1
834,36,16,69,20,56,0,0
835,73,96,77,39,95,3,1
836,73,31,67,27,96,0,0
837,82,92,89,26,91,1,0
838,16,84,16,1,80,4,0
839,84,84,18,32,72,2,0
840,77,39,50,15,96,4,0
841,72,22,69,38,66,2,0
842,0,55,62,21,80,1,0
843,50,5,92,12,79,2,1
844,44,85,74,1,100,0,1
845,76,49,79,13,96,4,0
846,3,36,29,37,88,5,1
847,61,63,24,40,60,4,1
848,64,53,74,27,78,1,1
849,31,71,70,6,66,5,0
850,33,48,25,17,67,4,0
851,91,98,55,40,83,1,1
852,94,10,21,35,66,3,1
853,71,87,88,40,52,0,0
854,38,48,18,35,81,2,0
855,25,20,30,3,85,2,1
856,33,65,25,29,99,2,0
857,53,62,41,23,66,3,0
858,2,82,40,19,63,0,0
859,49,27,99,30,70,4,0
860,11,16,22,23,86,4,0
861,64,5,46,6,78,0,0
862,53,18,12,25,94,5,1
863,4,55,88,12,85,0,1
864,93,27,65,7,62,2,0
865,93,65,65,4,61,4,0
866,56,37,15,12,98,0,1
867,16,36,72,28,64,4,1
